Name,Capital,Continent,Area,Population
Argentina,Buenos Aires,South America,2777815,32300003
Bolivia,La Paz,South America,1098575,7300000
Brazil,Brasilia,South America,8511196,150400000
Canada,Ottawa,North America,9976147,26500000
Chile,Santiago,South America,756943,13200000
Colombia,Bagota,South America,1138907,33000000
Cuba,Havana,North America,114524,10600000
Ecuador,Quito,South America,455502,10600000
El Salvador,San Salvador,North America,20865,5300000
Guyana,Georgetown,South America,214969,800000
Jamaica,Kingston,North America,11424,2500000
Mexico,Mexico City,North America,1967180,88600000
Nicaragua,Managua,North America,139000,3900000
Paraguay,Asuncion,South America,406576,4660000
Peru,Lima,South America,1285215,21600000
United States,Washington,North America,9363130,249200000
Uruguay,Montevideo,South America,176140,3002000
Venezuela,Caracas,South America,912047,19700000
